seed,method,P,R,F1,EM
0,Source-Priority,0.902234051314302,0.902234051314302,0.902234051314302,0.8983050847457628
0,Cluster-Majority,0.9287147466852338,0.9287147466852338,0.9287147466852338,0.9209039548022598
0,Weighted-Voting-Global,0.9637546885879208,0.9637546885879208,0.9637546885879208,0.9548022598870056
0,Weighted-Voting-Field,0.9735586101565482,0.9735586101565482,0.9735586101565482,0.96045197740113
0,EM-Truth-Discovery,0.964804707679177,0.964804707679177,0.964804707679177,0.96045197740113
0,TupleFuse-Vote-Mean,0.9735586101565482,0.9735586101565482,0.9735586101565482,0.96045197740113
0,TupleFuse-Vote-LCB,0.9735586101565482,0.9735586101565482,0.9735586101565482,0.96045197740113
1,Source-Priority,0.8975772765246449,0.8975772765246449,0.8975772765246449,0.8926553672316384
1,Cluster-Majority,0.9299916457811195,0.9299916457811195,0.9299916457811195,0.9152542372881356
1,Weighted-Voting-Global,0.9751044277360066,0.9751044277360066,0.9751044277360066,0.9548022598870056
1,Weighted-Voting-Field,0.9748538011695906,0.9748538011695906,0.9748538011695906,0.9548022598870056
1,EM-Truth-Discovery,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.9491525423728814
1,TupleFuse-Vote-Mean,0.9748538011695906,0.9748538011695906,0.9748538011695906,0.9548022598870056
1,TupleFuse-Vote-LCB,0.9748538011695906,0.9748538011695906,0.9748538011695906,0.9548022598870056
2,Source-Priority,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.8926553672316384
2,Cluster-Majority,0.9553376906318083,0.9553376906318083,0.9553376906318083,0.943502824858757
2,Weighted-Voting-Global,0.9744008714596949,0.9744008714596949,0.9744008714596949,0.9661016949152542
2,Weighted-Voting-Field,0.9836601307189543,0.9836601307189543,0.9836601307189543,0.9717514124293786
2,EM-Truth-Discovery,0.9711328976034858,0.9711328976034858,0.9711328976034858,0.96045197740113
2,TupleFuse-Vote-Mean,0.9836601307189543,0.9836601307189543,0.9836601307189543,0.9717514124293786
2,TupleFuse-Vote-LCB,0.9869281045751634,0.9869281045751634,0.9869281045751634,0.9774011299435028
