source_id,brand,description,title
src_0,0.7419,0.7,0.2353
src_1,0.6833,0.6076,0.3125
src_2,0.7167,0.7013,0.2
src_3,0.7458,0.6842,0.25
src_4,0.7188,0.6849,0.3
src_5,0.8163,0.6575,0.2222
src_6,0.8614,0.6146,0.1364
src_7,0.7302,0.6494,0.3333
src_8,0.6957,0.7407,0.3333
src_9,0.6818,0.5667,0.1034
src_10,0.7077,0.5867,0.1538
src_11,0.7419,0.7468,0.1538
src_12,0.899,0.8963,0.766
src_13,0.7746,0.8156,0.7826
src_14,0.9351,0.8385,0.7241
src_15,0.9333,0.8859,0.8065
src_16,0.9368,0.8351,0.6866
