delta,tau,precision,coverage,F1,selective_risk
0.01,0.0,0.9756,1.0,0.9756,0.0244
0.01,0.2,0.9756,0.9987,0.9749,0.0244
0.01,0.4,0.9791,0.9716,0.9649,0.0209
0.01,0.6,1.0,0.8346,0.9098,0.0
0.01,0.8,1.0,0.6325,0.7744,0.0
0.05,0.0,0.9729,1.0,0.9729,0.0271
0.05,0.2,0.9729,0.9987,0.9722,0.0271
0.05,0.4,0.9776,0.969,0.9622,0.0224
0.05,0.6,1.0,0.821,0.9017,0.0
0.05,0.8,1.0,0.6203,0.7652,0.0
0.1,0.0,0.9729,1.0,0.9729,0.0271
0.1,0.2,0.9729,0.9987,0.9722,0.0271
0.1,0.4,0.9776,0.9649,0.96,0.0224
0.1,0.6,1.0,0.8114,0.8958,0.0
0.1,0.8,1.0,0.6161,0.762,0.0
0.2,0.0,0.9715,1.0,0.9715,0.0285
0.2,0.2,0.9715,0.9987,0.9709,0.0285
0.2,0.4,0.9774,0.9595,0.9572,0.0226
0.2,0.6,1.0,0.8058,0.8924,0.0
0.2,0.8,1.0,0.6107,0.7577,0.0
