scenario,bad_sources
sudden|2src|brand,"src_16,src_15"
sudden|2src|title,"src_16,src_15"
sudden|2src|brand+title,"src_16,src_15"
sudden|3src|brand,"src_16,src_15,src_14"
sudden|3src|title,"src_16,src_15,src_14"
sudden|3src|brand+title,"src_16,src_15,src_14"
sudden|5src|brand,"src_16,src_15,src_14,src_12,src_13"
sudden|5src|title,"src_16,src_15,src_14,src_12,src_13"
sudden|5src|brand+title,"src_16,src_15,src_14,src_12,src_13"
gradual|2src|brand,"src_16,src_15"
gradual|2src|title,"src_16,src_15"
gradual|2src|brand+title,"src_16,src_15"
gradual|3src|brand,"src_16,src_15,src_14"
gradual|3src|title,"src_16,src_15,src_14"
gradual|3src|brand+title,"src_16,src_15,src_14"
gradual|5src|brand,"src_16,src_15,src_14,src_12,src_13"
gradual|5src|title,"src_16,src_15,src_14,src_12,src_13"
gradual|5src|brand+title,"src_16,src_15,src_14,src_12,src_13"
recurring|2src|brand,"src_16,src_15"
recurring|2src|title,"src_16,src_15"
recurring|2src|brand+title,"src_16,src_15"
recurring|3src|brand,"src_16,src_15,src_14"
recurring|3src|title,"src_16,src_15,src_14"
recurring|3src|brand+title,"src_16,src_15,src_14"
recurring|5src|brand,"src_16,src_15,src_14,src_12,src_13"
recurring|5src|title,"src_16,src_15,src_14,src_12,src_13"
recurring|5src|brand+title,"src_16,src_15,src_14,src_12,src_13"
