dataset,rows,partitions,seeds,rank_mismatches,rank_unique_hashes,votefix_mismatches,votefix_unique_hashes,votefloat_mismatches,votefloat_unique_hashes
wdc2017,31756,1,10,0,1,0,1,0,1
wdc2017,31756,2,10,0,1,0,1,0,1
wdc2017,31756,4,10,0,1,0,1,0,1
wdc2017,31756,8,10,0,1,0,1,0,1
wdc2017,31756,16,10,0,1,0,1,0,1
wdc2017,31756,32,10,0,1,0,1,0,1
wdc2017,31756,64,10,0,1,0,1,0,1
synthetic-1M,1000000,1,10,0,1,0,1,0,1
synthetic-1M,1000000,2,10,0,1,0,1,0,1
synthetic-1M,1000000,4,10,0,1,0,1,0,1
synthetic-1M,1000000,8,10,0,1,0,1,0,1
synthetic-1M,1000000,16,10,0,1,0,1,0,1
synthetic-1M,1000000,32,10,0,1,0,1,0,1
synthetic-1M,1000000,64,10,0,1,0,1,0,1
musicbrainz-20k,84269,1,10,0,1,0,1,0,1
musicbrainz-20k,84269,2,10,0,1,0,1,0,1
musicbrainz-20k,84269,4,10,0,1,0,1,0,1
musicbrainz-20k,84269,8,10,0,1,0,1,0,1
musicbrainz-20k,84269,16,10,0,1,0,1,0,1
musicbrainz-20k,84269,32,10,0,1,0,1,0,1
musicbrainz-20k,84269,64,10,0,1,0,1,0,1
