engine,n_rows,threads,width,time_s,throughput_mrows_s,out_rows,peak_mb
pandas,1000000,16,4,0.6091,1.6418,196363,302.9
polars,1000000,16,4,0.0977,10.2323,196363,337.1
duckdb,1000000,16,4,0.1227,8.15,196363,303.4
spark,1000000,16,4,2.0764,0.4816,196363,303.4
pandas,2000000,16,4,1.3035,1.5343,393665,506.3
polars,2000000,16,4,0.182,10.9876,393665,564.8
duckdb,2000000,16,4,0.2241,8.9255,393665,506.2
spark,2000000,16,4,5.4866,0.3645,393665,506.5
pandas,5000000,16,4,4.4611,1.1208,983497,1120.5
polars,5000000,16,4,0.4941,10.1198,983497,1154.2
duckdb,5000000,16,4,0.5357,9.3332,983497,1120.4
spark,5000000,16,4,13.362,0.3742,983497,1120.5
pandas,10000000,16,4,10.718,0.933,1967869,2140.8
polars,10000000,16,4,1.0847,9.2194,1967869,2141.2
duckdb,10000000,16,4,1.3027,7.6765,1967869,2141.0
spark,10000000,16,4,27.8776,0.3587,1967869,2141.1
pandas,20000000,16,4,27.4649,0.7282,3935769,4183.7
polars,20000000,16,4,2.1779,9.1831,3935769,4184.4
duckdb,20000000,16,4,3.1024,6.4467,3935769,4184.4
pandas,50000000,16,4,95.602,0.523,9838650,8180.3
polars,50000000,16,4,11.5212,4.3398,9838650,8592.8
duckdb,50000000,16,4,17.372,2.8782,9838650,9910.0
