engine,n_rows,threads,width,wall_s,critical_s,merge_s,out_rows,time_s,throughput_mrows_s,peak_mb,mode,partitions,speedup,efficiency,wall_speedup
duckdb,10000000,1,4,,,,1967869,2.721,3.6751,2138.4,duckdb-threads,1,1.0,1.0,
duckdb,10000000,2,4,,,,1967869,2.4822,4.0288,2138.9,duckdb-threads,2,1.0962049794537103,0.5481024897268552,
duckdb,10000000,4,4,,,,1967869,2.3549,4.2465,2139.5,duckdb-threads,4,1.1554630769884071,0.2888657692471018,
duckdb,10000000,8,4,,,,1967869,1.5136,6.6068,2140.4,duckdb-threads,8,1.797700845665962,0.22471260570824525,
duckdb,10000000,12,4,,,,1967869,1.2822,7.7993,2140.5,duckdb-threads,12,2.122133832475433,0.17684448603961941,
duckdb,10000000,16,4,,,,1967869,1.2301,8.1295,2141.0,duckdb-threads,16,2.2120152833103,0.13825095520689376,
duckdb,20000000,1,4,,,,3935769,5.807,3.4441,4181.5,duckdb-threads,1,1.0,1.0,
duckdb,20000000,2,4,,,,3935769,5.2628,3.8003,4182.2,duckdb-threads,2,1.1034050315421449,0.5517025157710724,
duckdb,20000000,4,4,,,,3935769,5.2067,3.8412,4182.9,duckdb-threads,4,1.11529375612192,0.27882343903048,
duckdb,20000000,8,4,,,,3935769,3.3948,5.8914,4183.2,duckdb-threads,8,1.710557322964534,0.21381966537056676,
duckdb,20000000,12,4,,,,3935769,3.1993,6.2514,4183.5,duckdb-threads,12,1.8150845497452568,0.15125704581210472,
duckdb,20000000,16,4,,,,3935769,2.916,6.8587,4183.9,duckdb-threads,16,1.9914266117969823,0.1244641632373114,
mp1,10000000,1,4,10.866160500096157,10.832175299990922,0.0,1967869,10.8662,0.9203,2387.9,multiprocessing,1,1.0,1.0,1.0
mp2,10000000,2,4,7.823905900120735,5.121576400008053,1.216491000028327,1967869,7.8239,1.2781,2138.8,multiprocessing,2,2.115008047126641,1.0575040235633204,1.3888408984991083
mp4,10000000,4,4,5.445292399963364,2.8040523999370635,1.1993213000241667,1967869,5.4453,1.8364,2139.5,multiprocessing,4,3.8630431086929935,0.9657607771732484,1.9955146026996209
mp8,10000000,8,4,4.760791900102049,1.7882169000804424,1.2979995999485254,1967869,4.7608,2.1005,2140.2,multiprocessing,8,6.057528759237003,0.7571910949046253,2.2824271104694236
mp12,10000000,12,4,5.043079099850729,1.508642700035125,1.3177402999717742,1967869,5.0431,1.9829,2140.1,multiprocessing,12,7.18008001479656,0.5983400012330466,2.1546678695596477
mp16,10000000,16,4,4.9981362000107765,1.0321909999474883,1.285831999965012,1967869,4.9981,2.0007,2140.9,multiprocessing,16,10.494351627307347,0.6558969767067092,2.17404249609539
mp1,20000000,1,4,28.038229399826378,27.97902730014175,0.0,3935769,28.0382,0.7133,4678.2,multiprocessing,1,1.0,1.0,1.0
mp2,20000000,2,4,18.252326000016183,13.382488899864256,2.6520203000400215,3935769,18.2523,1.0958,4182.3,multiprocessing,2,2.090719260781569,1.0453596303907846,1.5361455520683511
mp4,20000000,4,4,12.776451400015503,7.502420199802145,2.800378500018269,3935769,12.7765,1.5654,4182.5,multiprocessing,4,3.7293335423787135,0.9323333855946784,2.194524013122482
mp8,20000000,8,4,9.84540140000172,4.567381799919531,2.7613039000425488,3935769,9.8454,2.0314,4183.3,multiprocessing,8,6.125835002590476,0.7657293753238095,2.8478503070297854
mp12,20000000,12,4,9.71345159993507,3.8734488000627607,2.821615600027144,3935769,9.7135,2.059,4184.0,multiprocessing,12,7.223285693020755,0.6019404744183963,2.886536172169098
mp16,20000000,16,4,9.94344579987228,3.004774999804795,2.9989686000626534,3935769,9.9434,2.0114,4184.1,multiprocessing,16,9.31152159544705,0.5819700997154407,2.8197699232379305
polars,10000000,1,4,,,,1967869,4.2186,2.3705,2138.4,polars-threads,1,1.0,1.0,
polars,10000000,2,4,,,,1967869,2.2879,4.3708,2139.0,polars-threads,2,1.84387429520521,0.921937147602605,
polars,10000000,4,4,,,,1967869,1.4682,6.8111,2139.3,polars-threads,4,2.873314262362076,0.718328565590519,
polars,10000000,8,4,,,,1967869,1.1314,8.8388,2140.3,polars-threads,8,3.7286547640091925,0.46608184550114906,
polars,10000000,12,4,,,,1967869,1.049,9.5333,2140.3,polars-threads,12,4.021544327931363,0.3351286939942803,
polars,10000000,16,4,,,,1967869,1.0425,9.592,2140.8,polars-threads,16,4.046618705035971,0.2529136690647482,
polars,20000000,1,4,,,,3935769,8.7996,2.2728,4181.9,polars-threads,1,1.0,1.0,
polars,20000000,2,4,,,,3935769,4.892,4.0883,4182.0,polars-threads,2,1.798773507767784,0.899386753883892,
polars,20000000,4,4,,,,3935769,3.0517,6.5537,4182.8,polars-threads,4,2.883507553167087,0.7208768882917718,
polars,20000000,8,4,,,,3935769,2.3872,8.3781,4236.2,polars-threads,8,3.6861595174262733,0.46076993967828417,
polars,20000000,12,4,,,,3935769,2.3084,8.664,4183.4,polars-threads,12,3.8119909894299084,0.3176659157858257,
polars,20000000,16,4,,,,3935769,2.1571,9.2715,4184.5,polars-threads,16,4.079365815214872,0.2549603634509295,
