S,mode,rows,update_s,fuse_s,trust_table_bytes,n_adjudications,acc_vs_planted
10,mean,360000,0.039,0.089,480,36000,0.9834
10,majority,360000,0.0,,0,0,0.9636
10,oracle-theta,360000,0.0,,240,0,0.9835
50,mean,360000,0.035,0.094,2400,36000,0.9903
50,majority,360000,0.0,,0,0,0.9764
50,oracle-theta,360000,0.0,,1200,0,0.9903
100,mean,360000,0.037,0.1,4800,36000,0.9899
100,majority,360000,0.0,,0,0,0.9763
100,oracle-theta,360000,0.0,,2400,0,0.9902
500,mean,360000,0.038,0.092,24000,36000,0.9909
500,majority,360000,0.0,,0,0,0.9795
500,oracle-theta,360000,0.0,,12000,0,0.9919
1000,mean,360000,0.037,0.094,48000,36000,0.9903
1000,majority,360000,0.0,,0,0,0.9792
1000,oracle-theta,360000,0.0,,24000,0,0.9916
5000,mean,360000,0.047,0.084,240000,36000,0.9891
5000,majority,360000,0.0,,0,0,0.9802
5000,oracle-theta,360000,0.0,,120000,0,0.9917
