q,batch,batch_rows,fuse_latency_s,update_s,updates,updates_per_s,trust_pairs,F1,n_eval
0.01,1,1588,0.0207,0.0033,2,612.0,2,0.6816,179
0.01,2,1588,0.0457,0.0034,2,586.0,4,0.7778,162
0.01,3,1588,0.0212,0.0032,4,1250.5,8,0.7831,189
0.01,4,1588,0.022,0.0033,2,604.6,10,0.7576,198
0.01,5,1587,0.0219,0.0029,9,3082.0,16,0.7353,170
0.01,6,1588,0.0227,0.0029,3,1024.3,19,0.712,184
0.01,7,1588,0.0226,0.003,3,987.1,21,0.7624,202
0.01,8,1588,0.0241,0.0031,3,981.5,22,0.7167,180
0.01,9,1588,0.0228,0.003,2,668.4,22,0.6824,170
0.01,10,1587,0.024,0.0031,2,644.2,22,0.7696,204
0.01,11,1588,0.0223,0.003,2,670.2,22,0.7791,172
0.01,12,1588,0.0222,0.0029,2,683.3,23,0.7135,185
0.01,13,1588,0.0235,0.003,2,669.3,24,0.7829,175
0.01,14,1588,0.0224,0.003,2,658.2,24,0.7766,197
0.01,15,1587,0.0229,0.003,2,670.4,24,0.7563,197
0.01,16,1588,0.0227,0.0029,2,680.0,25,0.7722,180
0.01,17,1588,0.0225,0.003,2,662.2,26,0.7668,193
0.01,18,1588,0.0218,0.0029,2,699.5,27,0.7513,189
0.01,19,1588,0.0236,0.0029,2,681.5,28,0.7869,183
0.01,20,1587,0.0225,0.0029,3,1022.2,30,0.7232,177
0.05,1,1588,0.0193,0.003,12,3955.2,7,0.6816,179
0.05,2,1588,0.0221,0.0029,10,3413.9,15,0.7716,162
0.05,3,1588,0.0214,0.003,18,6039.3,21,0.7778,189
0.05,4,1588,0.0229,0.0033,13,3925.5,25,0.7475,198
0.05,5,1587,0.0224,0.0041,11,2680.6,27,0.7412,170
0.05,6,1588,0.0228,0.0036,10,2795.6,31,0.712,184
0.05,7,1588,0.0241,0.0037,11,2960.0,35,0.7426,202
0.05,8,1588,0.0224,0.0037,10,2670.4,36,0.7222,180
0.05,9,1588,0.0229,0.0033,9,2687.5,38,0.7,170
0.05,10,1587,0.0238,0.0033,11,3322.3,38,0.7696,204
0.05,11,1588,0.0222,0.003,15,4991.7,41,0.7907,172
0.05,12,1588,0.0227,0.003,14,4630.2,41,0.6973,185
0.05,13,1588,0.0226,0.003,11,3674.1,41,0.8057,175
0.05,14,1588,0.0229,0.003,12,4002.9,41,0.7665,197
0.05,15,1587,0.0232,0.003,15,4938.8,43,0.7665,197
0.05,16,1588,0.0222,0.003,11,3678.7,43,0.7722,180
0.05,17,1588,0.0232,0.003,11,3629.0,43,0.772,193
0.05,18,1588,0.023,0.003,11,3618.4,44,0.7566,189
0.05,19,1588,0.0225,0.003,9,3001.9,44,0.7923,183
0.05,20,1587,0.0227,0.003,10,3340.0,44,0.7401,177
0.1,1,1588,0.0191,0.003,26,8803.1,17,0.6816,179
0.1,2,1588,0.022,0.0029,21,7255.9,24,0.7778,162
0.1,3,1588,0.0236,0.0031,22,7064.0,29,0.7672,189
0.1,4,1588,0.0259,0.0032,24,7501.6,32,0.7475,198
0.1,5,1587,0.0251,0.003,21,7077.4,37,0.7412,170
0.1,6,1588,0.0233,0.0031,25,8132.7,40,0.7174,184
0.1,7,1588,0.0223,0.003,27,9076.9,41,0.7525,202
0.1,8,1588,0.0229,0.003,20,6724.7,42,0.7222,180
0.1,9,1588,0.024,0.003,26,8563.9,42,0.6882,170
0.1,10,1587,0.0223,0.0031,30,9803.9,43,0.7745,204
0.1,11,1588,0.023,0.003,23,7701.1,43,0.7849,172
0.1,12,1588,0.0219,0.003,22,7359.1,43,0.7189,185
0.1,13,1588,0.022,0.003,23,7768.7,44,0.8114,175
0.1,14,1588,0.0227,0.0033,28,8381.2,44,0.7716,197
0.1,15,1587,0.0223,0.0039,27,6853.7,45,0.7462,197
0.1,16,1588,0.0223,0.0032,22,6953.4,45,0.7667,180
0.1,17,1588,0.0233,0.0032,20,6215.6,45,0.7617,193
0.1,18,1588,0.0221,0.003,26,8739.2,48,0.7619,189
0.1,19,1588,0.0238,0.0031,23,7353.6,48,0.7923,183
0.1,20,1587,0.0232,0.003,30,9846.4,48,0.7288,177
0.2,1,1588,0.0199,0.003,44,14474.2,27,0.6816,179
0.2,2,1588,0.024,0.003,46,15228.8,38,0.7531,162
0.2,3,1588,0.0245,0.003,45,14793.9,40,0.7831,189
0.2,4,1588,0.0228,0.003,54,17942.6,43,0.7576,198
0.2,5,1587,0.0234,0.003,45,14870.1,45,0.7235,170
0.2,6,1588,0.0222,0.003,47,15525.4,45,0.7174,184
0.2,7,1588,0.0221,0.003,52,17323.5,46,0.7525,202
0.2,8,1588,0.0231,0.003,47,15475.3,46,0.7389,180
0.2,9,1588,0.0218,0.0032,51,15761.2,46,0.6941,170
0.2,10,1587,0.0229,0.0033,51,15265.8,47,0.7647,204
0.2,11,1588,0.0234,0.003,47,15883.7,48,0.7849,172
0.2,12,1588,0.0217,0.0029,49,16644.6,48,0.7189,185
0.2,13,1588,0.0221,0.003,41,13885.1,48,0.8,175
0.2,14,1588,0.0218,0.0029,47,16033.3,48,0.7716,197
0.2,15,1587,0.0217,0.003,53,17959.4,48,0.7716,197
0.2,16,1588,0.0223,0.003,48,16136.1,48,0.7722,180
0.2,17,1588,0.0218,0.0031,52,16603.3,48,0.7772,193
0.2,18,1588,0.0217,0.0029,45,15299.4,49,0.7619,189
0.2,19,1588,0.0218,0.003,43,14382.7,49,0.7978,183
0.2,20,1587,0.0218,0.0029,51,17333.4,49,0.7401,177
