dataset,seed,method,F1,EM
musicbrainz-20k,0,Recency-First,0.7642,0.6719
musicbrainz-20k,0,Source-Priority,0.9374,0.8144
musicbrainz-20k,0,Cluster-Majority,1.0,1.0
musicbrainz-20k,0,Weighted-Voting-Global,0.978,0.9294
musicbrainz-20k,0,Weighted-Voting-Field,0.9872,0.9612
musicbrainz-20k,0,EM-Truth-Discovery,0.9779,0.9292
musicbrainz-20k,0,TupleFuse-Vote-Mean,0.9872,0.9612
musicbrainz-20k,0,TupleFuse-Vote-LCB,0.987,0.9607
musicbrainz-20k,0,TupleFuse-Vote-LCB-Decay,0.9871,0.9622
musicbrainz-20k,1,Recency-First,0.7633,0.6742
musicbrainz-20k,1,Source-Priority,0.9379,0.815
musicbrainz-20k,1,Cluster-Majority,1.0,1.0
musicbrainz-20k,1,Weighted-Voting-Global,0.9781,0.9292
musicbrainz-20k,1,Weighted-Voting-Field,0.9873,0.9618
musicbrainz-20k,1,EM-Truth-Discovery,0.9779,0.929
musicbrainz-20k,1,TupleFuse-Vote-Mean,0.9874,0.9622
musicbrainz-20k,1,TupleFuse-Vote-LCB,0.9865,0.9592
musicbrainz-20k,1,TupleFuse-Vote-LCB-Decay,0.9865,0.9592
musicbrainz-20k,2,Recency-First,0.7645,0.6742
musicbrainz-20k,2,Source-Priority,0.9391,0.8172
musicbrainz-20k,2,Cluster-Majority,1.0,1.0
musicbrainz-20k,2,Weighted-Voting-Global,0.979,0.932
musicbrainz-20k,2,Weighted-Voting-Field,0.9881,0.9644
musicbrainz-20k,2,EM-Truth-Discovery,0.9788,0.9318
musicbrainz-20k,2,TupleFuse-Vote-Mean,0.9881,0.9644
musicbrainz-20k,2,TupleFuse-Vote-LCB,0.9872,0.9614
musicbrainz-20k,2,TupleFuse-Vote-LCB-Decay,0.9881,0.9652
